`title`,`year`,`album`,`songwriter`,`lead_vocals`,`chart_position_uk`,`chart_position_us`,`echo_id`,`energy`,`tempo`,`speechiness`,`key`,`duration`,`liveness`,`mode`,`time_signature`,`loudness`,`danceability`,`self_references`,`social_words`,`positive_emotions`,`negative_emotions`,`cognitive_words`,`articles`,`big_words`,`word_count`,`unique_word_count`,`longest_word`
`Because`,`1969`,`Abbey Road`,`Lennon`,`Lennon, McCartney, Harrison`,``,``,`TRAATIX13E357E9438`,`0.23841092099374345`,`80.061`,`0.027585848749019204`,`d`,`165.642`,`0.08160192269780626`,`major`,`4`,`-12.478`,`0.3204728944994417`,`5.17`,`1.72`,`6.9`,`1.72`,`12.07`,`10.34`,`17.24`,`54`,`22`,`because`
`Being for the Benefit of Mr. Kite!`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`Lennon`,`Lennon`,``,``,`TRIIGGJ13E35AC1B4C`,`0.4089283890752051`,`112.212`,`0.03717071657936649`,`c`,`157.51791`,`0.11152389130683425`,`major`,`4`,`-10.435`,`0.5449950932365717`,`0`,`4.67`,`2`,`0.67`,`0.67`,`10.67`,`17.33`,`142`,`88`,`bishopsgate`
`Birthday`,`1968`,`The Beatles`,`McCartney`,`McCartney, with Lennon`,``,``,`TRJNTWG13E35B347EE`,`0.7170034654484198`,`139.162`,`0.0426406175719789`,`a`,`163.05587`,`0.2093578134778512`,`major`,`4`,`-8.08`,`0.551387092029187`,`10.48`,`27.62`,`13.33`,`0`,`1.9`,`5.71`,`14.29`,`94`,`27`,`birthday`
`Blackbird`,`1968`,`The Beatles`,`McCartney`,`McCartney`,``,``,`TRDFECL13E35B1A2E7`,`0.11044876583722507`,`93.708`,`0.03203890968968076`,`g`,`138.37016`,`0.061729799763978806`,`major`,`4`,`-15.236`,`0.6882088348603773`,`0`,`6.45`,`0.81`,`0`,`7.26`,`5.65`,`12.1`,`124`,`35`,`blackbird`
`Blue Jay Way`,`1967`,`Magical Mystery Tour`,`Harrison`,`Harrison`,``,``,`TRJMKDJ13E3588E783`,`0.411696732457202`,`98.631`,`0.03166307455020401`,`c`,`235.04934`,`0.08266696659644955`,`major`,`4`,`-12.221`,`0.2450910222816025`,`4.69`,`8.85`,`0`,`1.04`,`0.52`,`2.08`,`4.17`,`190`,`66`,`themselves`
`Can't Buy Me Love`,`1964`,`A Hard Day's Night`,`McCartney`,`McCartney`,`1`,`1`,`TRBKFHV13E357A9D85`,`0.6619927966080593`,`86.203`,`0.05166702656925459`,`c`,`131.86567`,`0.3475671155670837`,`minor`,`4`,`-6.73`,`0.5852998087936074`,`15.97`,`14.58`,`9.03`,`0`,`6.25`,`2.08`,`4.86`,`142`,`52`,`everybody`
`Carry That Weight`,`1969`,`Abbey Road`,`McCartney`,`Lennon, McCartney, Harrison and Starkey`,``,``,`TROVOTF13E357FE481`,`0.4680728847898881`,`84.04`,`0.0280692393059932`,`c`,`96.44363`,`0.2566883096550533`,`major`,`4`,`-9.649`,`0.5444662620662003`,`7.14`,`17.14`,`0`,`0`,`0`,`8.57`,`2.86`,`66`,`24`,`celebrations`
`Come Together`,`1969`,`Abbey Road`,`Lennon`,`Lennon`,`4`,`1`,`TRINOHC13E35532652`,`0.36773320845329677`,`82.725`,`0.03326338492052516`,`a`,`259.94404`,`0.10740652742230829`,`minor`,`4`,`-12.56`,`0.6951113089805966`,`3.12`,`21.88`,`1.25`,`0`,`3.75`,`0.62`,`11.88`,`154`,`78`,`roller-coaster`
`Cry Baby Cry`,`1968`,`The Beatles`,`Lennon`,`Lennon, with McCartney`,``,``,`TRJVPUU13E35B6DD5F`,`0.5535094187562967`,`76.728`,`0.03678108468423441`,`c`,`182.07302`,`0.14856992412024952`,`major`,`4`,`-12.369`,`0.5282169245600999`,`0`,`17.57`,`4.5`,`12.61`,`3.15`,`10.36`,`11.26`,`217`,`72`,`childrens`
`Day Tripper`,`1965`,`Past Masters Volume 2`,`Lennon`,`Lennon and McCartney`,`1`,`5`,`TRZRVBY13E358D6014`,`0.7211932301345244`,`137.717`,`0.02935696557845363`,`f#`,`169.1424`,`0.27070410774980064`,`minor`,`4`,`-11.167`,`0.645949814681509`,`5.26`,`10.53`,`5.26`,`1.75`,`7.02`,`10.53`,`4.39`,`106`,`41`,`tripper`
`Dear Prudence`,`1968`,`The Beatles`,`Lennon`,`Lennon`,``,``,`TRJMOAO13E35AEB16F`,`0.5072472287621368`,`75.587`,`0.04187786779660746`,`d`,`235.75465`,`0.033668289943978316`,`major`,`4`,`-11.163`,`0.34742659593367187`,`2.59`,`11.21`,`13.79`,`0.86`,`3.45`,`7.76`,`9.48`,`114`,`52`,`everything`
`Dig It`,`1969`,`Let It Be`,`Lennon, McCartney, Harrison and Starkey`,`Lennon`,``,``,`TRWDKNN13E3585E470`,`0.4845249032336043`,`78.791`,`0.12494055521467001`,`d`,`50.442`,`0.41234877375322637`,`minor`,`3`,`-12.94`,`0.5872248017253756`,`1.52`,`3.03`,`1.52`,`0`,`0`,`10.61`,`4.55`,`63`,`30`,`rolling`
`Dig a Pony`,`1969`,`Let It Be`,`Lennon`,`Lennon`,``,``,`TRJNSPI13E35852E9A`,`0.4585901553840887`,`118.583`,`0.048359602755888076`,`b`,`234.9971`,`0.23876130174965438`,`minor`,`3`,`-9.727`,`0.48277768256531534`,`6.82`,`21.59`,`0`,`0`,`8.52`,`3.41`,`14.77`,`168`,`50`,`ev'rything`
`Do You Want to Know a Secret`,`1963`,`Please Please Me`,`Lennon`,`Harrison`,``,`2`,`TRKGDGI13E35916703`,`0.34296878500714734`,`124.296`,`0.03691025543315607`,`f#`,`117.002`,`0.36821832482247846`,`minor`,`4`,`-13.179`,`0.6771870870234794`,`7.19`,`25.18`,`3.6`,`0`,`11.51`,`5.76`,`4.32`,`129`,`43`,`whisper`
`Doctor Robert`,`1966`,`Revolver`,`Lennon`,`Lennon`,``,``,`TRVHYFG13E35A45611`,`0.6702821135334189`,`82.125`,`0.03822781189620644`,`e`,`134.24281`,`0.17120259579668587`,`major`,`4`,`-9.578`,`0.4982795333568689`,`2.05`,`23.97`,`2.05`,`0`,`6.16`,`3.42`,`8.9`,`142`,`67`,`understand`
`Don't Bother Me`,`1963`,`With the Beatles`,`Harrison`,`Harrison`,``,``,`TRBFJNI13E35B91823`,`0.7416488421944208`,`85.825`,`0.04681532945184369`,`d`,`148.24444`,`0.29824023335396876`,`major`,`4`,`-10.462`,`0.49361279448845435`,`16.5`,`9`,`0`,`7`,`9`,`2.5`,`1.5`,`200`,`72`,`because`
`Don't Let Me Down`,`1969`,`Past Masters Volume 2`,`Lennon`,`Lennon`,``,`35`,`TRBLNDR13E358FB109`,`0.28804340224544894`,`76.331`,`0.027199345873687886`,`e`,`215.58812`,`0.10955366752002203`,`major`,`4`,`-11.419`,`0.5986368615969286`,`18.42`,`8.55`,`5.92`,`0`,`5.26`,`2.63`,`1.32`,`146`,`41`,`somebody`
`Don't Pass Me By`,`1968`,`The Beatles`,`Starkey`,`Starkey`,``,``,`TRGEQIZ13E35B27518`,`0.5254640202573592`,`85.096`,`0.02599046870662608`,`c`,`230.45179`,`0.1433179057934955`,`major`,`4`,`-10.329`,`0.5980687452685514`,`15.12`,`15.12`,`2.91`,`4.07`,`9.3`,`3.49`,`6.4`,`171`,`87`,`a'ticking`
`Drive My Car`,`1965`,`Rubber Soul`,`McCartney`,`McCartney`,``,``,`TRRDZFX13E35A54FDA`,`0.5875097955497872`,`122.448`,`0.04071258258278099`,`d`,`148.87138`,`0.2966474650977804`,`major`,`4`,`-9.071`,`0.7567611739827805`,`12.44`,`20.74`,`2.76`,`0`,`3.69`,`5.53`,`3.69`,`206`,`67`,`understood`
`Eight Days a Week`,`1964`,`Beatles for Sale`,`Lennon and McCartney`,`Lennon, with McCartney`,``,`1`,`TRXNNSZ13E35814F91`,`0.5843705687764806`,`69.085`,`0.0351752218352257`,`d`,`163.57832`,`0.10870958871914833`,`major`,`4`,`-8.493`,`0.6132000310211504`,`12.8`,`13.6`,`12.8`,`0`,`10.4`,`8`,`1.6`,`114`,`42`,`enough`
`Eleanor Rigby`,`1966`,`Revolver`,`McCartney`,`McCartney`,`1`,`11`,`TRVGMGZ13E35921065`,`0.280519993629169`,`138.14`,`0.0381411116791856`,`e`,`126.51057`,`0.3133461594608572`,`minor`,`4`,`-9.81`,`0.57366636971292`,`0`,`14.12`,`0.56`,`5.08`,`1.13`,`12.43`,`5.65`,`171`,`80`,`mckenzie`
`Every Little Thing`,`1964`,`Beatles for Sale`,`McCartney`,`Lennon and McCartney`,``,``,`TRMEXVO13E35817D6A`,`0.4966836171736776`,`123.136`,`0.03678808683545942`,`a`,`123.79383`,`0.12511371744796648`,`major`,`4`,`-9.805`,`0.7419391818021176`,`14.47`,`16.35`,`5.03`,`0.63`,`6.29`,`3.14`,`4.4`,`155`,`57`,`everybody's`
`Everybody's Got Something to Hide Except Me and My Monkey`,`1968`,`The Beatles`,`Lennon`,`Lennon`,``,``,`TRNKZLA13E35B41DC9`,`0.727980299365623`,`117.393`,`0.05791984234004194`,`d`,`144.77016`,`0.06312200966882943`,`major`,`4`,`-9.205`,`0.5220922655614963`,`3.55`,`6.51`,`10.65`,`0`,`0`,`5.92`,`4.73`,`163`,`32`,`everybody's`
`Fixing a Hole`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`McCartney`,`McCartney`,``,``,`TREIEYM13E35AB9413`,`0.49517934693836674`,`113.077`,`0.04294522395108735`,`c`,`156.81261`,`0.09209413355069025`,`major`,`4`,`-9.658`,`0.47294386917447406`,`15.76`,`4.24`,`1.21`,`3.03`,`7.27`,`6.06`,`9.09`,`162`,`68`,`colourful`
`Flying`,`1967`,`Magical Mystery Tour`,`Lennon, McCartney, Harrison and Starkey`,`N/A`,``,``,`TREEHRR13E358892DA`,`0.358279044305867`,`92.913`,`0.07110630999935136`,`c`,`135.49669`,`0.08962411408564419`,`major`,`4`,`-15.35`,`0.5560799577613738`,``,``,``,``,``,``,``,`0`,`0`,``
`For No One`,`1966`,`Revolver`,`McCartney`,`McCartney`,``,``,`TRYRNLU13E35A421E0`,`0.36733552525218965`,`81.328`,`0.028968805990731872`,`b`,`119.7971`,`0.11968147713974853`,`major`,`4`,`-11.338`,`0.4851613780209545`,`0`,`24.34`,`4.23`,`4.23`,`10.05`,`4.23`,`4.23`,`186`,`78`,`kindness`
`For You Blue`,`1969`,`Let It Be`,`Harrison`,`Harrison`,``,`1`,`TRSNTXD13E35878157`,`0.5330130000583793`,`128.534`,`0.07393864977087306`,`d`,`152.18893`,`0.24747999700893425`,`major`,`4`,`-11.264`,`0.8802839022354535`,`14.05`,`23.14`,`14.88`,`0`,`6.61`,`2.48`,`5.79`,`121`,`48`,`morining`
`From Me To You`,`1963`,`Past Masters Volume 1`,`Lennon and McCartney`,`Lennon and McCartney`,`1`,`41`,`TREKRVZ13E358B4ED3`,`0.6912790351099771`,`136.162`,`0.03146723495183107`,`a`,`117.08036`,`0.2762912401310171`,`minor`,`4`,`-9.341`,`0.645322508835593`,`13.76`,`14.29`,`5.82`,`0`,`6.35`,`0.53`,`7.94`,`185`,`40`,`everything`
`Get Back`,`1969`,`Let It Be`,`McCartney`,`McCartney`,`1`,`1`,`TRTEFIS13E3587DB28`,`0.5688921790112617`,`123.113`,`0.06702371983570404`,`g`,`189.36118`,`0.40758180025490165`,`major`,`4`,`-10.616`,`0.7565014392544156`,`0.93`,`14.88`,`1.4`,`0.47`,`5.12`,`3.72`,`12.56`,`208`,`73`,`california`
