`title`,`year`,`album`,`songwriter`,`lead_vocals`,`chart_position_uk`,`chart_position_us`,`energy`,`tempo`,`speechiness`,`key`,`duration`,`liveness`,`mode`,`time_signature`,`loudness`,`danceability`,`self_references`,`social_words`,`positive_emotions`,`negative_emotions`,`cognitive_words`,`articles`,`big_words`
`In My Life`,`1965`,`Rubber Soul`,`Lennon, with McCartney`,`Lennon`,``,``,`0.5394955182`,`103.177`,`0.0485763728`,`b`,`146.35392`,`0.1134571568`,`minor`,`4`,`-11.786`,`0.6976707105`,`15.38`,`16.24`,`0.85`,`2.56`,`13.68`,`1.71`,`5.98`
`Tell Me What You See`,`1965`,`Help!`,`Lennon and McCartney`,`Lennon and McCartney`,``,``,`0.8028777164`,`136.89`,`0.0402321434`,`c`,`157.98712`,`0.0930377776`,`major`,`4`,`-8.632`,`0.5881304082`,`12.43`,`19.46`,`1.08`,`0`,`17.84`,`0.54`,`3.24`
`Golden Slumbers`,`1969`,`Abbey Road`,`McCartney`,`McCartney`,``,``,`0.144290995`,`80.79`,`0.0282190476`,`a`,`91.76381`,`0.1137680188`,`minor`,`4`,`-13.094`,`0.4147910932`,`3.53`,`3.53`,`4.71`,`3.53`,`3.53`,`8.24`,`11.76`
`I'm a Loser`,`1964`,`Beatles for Sale`,`Lennon`,`Lennon`,``,``,`0.4991278312`,`89.813`,`0.0325133413`,`a`,`147.59138`,`0.2722605256`,`minor`,`4`,`-13.911`,`0.4741388936`,`19.15`,`7.45`,`3.72`,`7.98`,`6.38`,`9.04`,`6.38`
`Michelle`,`1965`,`Rubber Soul`,`McCartney, with Lennon`,`McCartney`,``,``,`0.286604337`,`116.999`,`0.0355389757`,`f`,`162.37569`,`0.1067811742`,`minor`,`4`,`-12.784`,`0.5939054762`,`20.15`,`17.16`,`3.73`,`0`,`15.67`,`2.24`,`8.96`
`I Wanna Be Your Man`,`1963`,`With the Beatles`,`McCartney, with Lennon`,`Starkey`,``,``,`0.9097509689`,`99.219`,`0.0444388814`,`b`,`119.51166`,`0.3686128895`,`minor`,`4`,`-8.814`,`0.5578795098`,`17.39`,`38.51`,`4.97`,`0`,`0.62`,`0`,`0.62`
`Magical Mystery Tour`,`1967`,`Magical Mystery Tour`,`McCartney, with Lennon`,`McCartney`,``,``,`0.466378918`,`84.662`,`0.0676614676`,`d`,`163.13424`,`0.2555827976`,`major`,`4`,`-14.78`,`0.3195366099`,`0.54`,`6.49`,`1.62`,`0`,`2.7`,`10.81`,`16.76`
`Mother Nature's Son`,`1968`,`The Beatles`,`McCartney`,`McCartney`,``,``,`0.1831278467`,`84.711`,`0.0263143592`,`d`,`168.04136`,`0.158848992`,`major`,`4`,`-17.544`,`0.5972331998`,`5.08`,`18.64`,`0`,`0`,`5.08`,`8.47`,`18.64`
`If I Needed Someone`,`1965`,`Rubber Soul`,`Harrison`,`Harrison`,``,``,`0.7935650486`,`127.398`,`0.0340058501`,`d`,`142.26721`,`0.1208107218`,`major`,`4`,`-9.723`,`0.4830938159`,`14.19`,`14.19`,`2.03`,`0`,`12.84`,`2.03`,`4.73`
`Carry That Weight`,`1969`,`Abbey Road`,`McCartney`,`Lennon, McCartney, Harrison and Starkey`,``,``,`0.4671242324`,`84.056`,`0.0247992857`,`c`,`96.47746`,`0.2322663687`,`major`,`4`,`-9.596`,`0.5462419451`,`7.14`,`17.14`,`0`,`0`,`0`,`8.57`,`2.86`
`Dig It`,`1969`,`Let It Be`,`Lennon, McCartney, Harrison and Starkey`,`Lennon`,``,``,`0.4850459243`,`79.554`,`0.1102089636`,`f`,`50.47873`,`0.3917620262`,`major`,`3`,`-12.841`,`0.494579496`,`1.52`,`3.03`,`1.52`,`0`,`0`,`10.61`,`4.55`
`Come Together`,`1969`,`Abbey Road`,`Lennon`,`Lennon`,`4`,`1`,`0.3769538247`,`82.414`,`0.0333107834`,`a`,`258.94748`,`0.0969258657`,`minor`,`4`,`-12.36`,`0.6876809917`,`3.12`,`21.88`,`1.25`,`0`,`3.75`,`0.62`,`11.88`
`Good Day Sunshine`,`1966`,`Revolver`,`McCartney`,`McCartney`,``,``,`0.4813225491`,`117.276`,`0.0466949322`,`b`,`129.31048`,`0.1237401066`,`major`,`3`,`-9.254`,`0.7686542452`,`10.34`,`7.76`,`18.97`,`0.86`,`3.45`,`6.03`,`14.66`
`All You Need Is Love`,`1967`,`Magical Mystery Tour`,`Lennon`,`Lennon`,`1`,`1`,`0.468918055`,`103.405`,`0.0290506412`,`g`,`228.39002`,`0.3270364926`,`major`,`4`,`-8.825`,`0.3992559499`,`0`,`17.62`,`17.14`,`0`,`13.33`,`0.48`,`5.24`
`Blackbird`,`1968`,`The Beatles`,`McCartney`,`McCartney`,``,``,`0.1223942087`,`93.771`,`0.032852773`,`g`,`138.38948`,`0.0616480539`,`major`,`4`,`-15.082`,`0.6808578826`,`0`,`6.45`,`0.81`,`0`,`7.26`,`5.65`,`12.1`
`Piggies`,`1968`,`The Beatles`,`Harrison`,`Harrison`,``,``,`0.4506865203`,`92.756`,`0.0303003586`,`d#`,`124.27175`,`0.4879223445`,`major`,`4`,`-9.806`,`0.5136802986`,`0`,`12.61`,`3.6`,`1.8`,`3.6`,`6.31`,`16.22`
`No Reply`,`1964`,`Beatles for Sale`,`Lennon, with McCartney`,`Lennon, with McCartney`,``,``,`0.5934674557`,`124.091`,`0.0371560744`,`c`,`135.06902`,`0.1389519185`,`major`,`4`,`-10.503`,`0.7129911202`,`14.79`,`21.89`,`1.18`,`1.78`,`12.43`,`2.96`,`4.73`
`Here Comes the Sun`,`1969`,`Abbey Road`,`Harrison`,`Harrison`,``,``,`0.5363702802`,`129.12`,`0.0371411217`,`a`,`185.73497`,`0.1929302653`,`major`,`4`,`-11.002`,`0.5535935215`,`3.45`,`2.76`,`4.83`,`0.69`,`4.83`,`7.59`,`5.52`
`Because`,`1969`,`Abbey Road`,`Lennon`,`Lennon, McCartney, Harrison`,``,``,`0.2400565886`,`80.129`,`0.0274902491`,`d`,`165.67293`,`0.0842924499`,`major`,`4`,`-12.32`,`0.3328753902`,`5.17`,`1.72`,`6.9`,`1.72`,`12.07`,`10.34`,`17.24`
`She's Leaving Home`,`1967`,`Sgt. Pepper's Lonely Hearts Club Band`,`McCartney, with Lennon`,`McCartney, with Lennon`,``,``,`0.2116625912`,`83.524`,`0.0422625425`,`b`,`215.17787`,`0.0920693998`,`major`,`4`,`-12.374`,`0.2945841`,`6.25`,`19.2`,`2.23`,`2.68`,`5.36`,`5.36`,`16.07`
`Honey Pie`,`1968`,`The Beatles`,`McCartney`,`McCartney`,``,``,`0.2998884279`,`71.891`,`0.0643888069`,`g`,`161.16825`,`0.1603699512`,`major`,`4`,`-15.964`,`0.6576423699`,`9.29`,`15.71`,`1.43`,`3.57`,`5`,`8.57`,`7.14`
